Imagen,Checkpoint_ID,Lat_Real,Lon_Real,Pred_Lat,Pred_Lon,Error_Metros,Status
Imagen_1.PNG,1,-7.201389,-78.484167,-7.201379960511892,-78.48447339327312,33.82,Hit
Imagen_1.PNG,2,-7.198611,-78.479167,-7.198836467828171,-78.4799188184765,86.65,Hit
Imagen_1.PNG,3,-7.163333,-78.442778,-7.163170561743789,-78.44329501685246,59.83,Hit
Imagen_1.PNG,4,-7.195556,-78.481944,-7.195423461235622,-78.48189440425473,15.72,Hit
Imagen_1.PNG,5,-7.193333,-78.445833,-7.19327475653442,-78.44594465240614,13.92,Hit
Imagen_1.PNG,6,-7.201389,-78.416389,-7.201810778664762,-78.4167761499242,63.43,Hit
Imagen_1.PNG,7,-7.200278,-78.483333,-7.20038436504955,-78.48353129368314,24.87,Hit
Imagen_1.PNG,8,-7.201389,-78.4725,-7.2016595936573236,-78.47332266490886,95.61,Hit
Imagen_1.PNG,9,-7.1925,-78.481389,-7.19342208202747,-78.48238704805988,150.45,Hit
Imagen_1.PNG,10,-7.176389,-78.454444,-7.176224064607821,-78.45479747535475,43.09,Hit
Imagen_2.jpg,1,-7.198056,-78.475,-7.198016208026799,-78.47508024834477,9.9,Hit
Imagen_2.jpg,2,-7.203889,-78.481944,-7.203622457501503,-78.48191255608904,29.84,Hit
Imagen_2.jpg,3,-7.202222,-78.476389,-7.202164185077388,-78.47671807812145,36.87,Hit
Imagen_2.jpg,4,-7.195556,-78.465,-7.195900333674178,-78.46565489460825,81.77,Hit
Imagen_2.jpg,5,-7.204167,-78.479444,-7.2038561430431445,-78.47944088970321,34.57,Hit
Imagen_2.jpg,6,-7.198611,-78.479167,-7.198605572998684,-78.47913011422736,4.11,Hit
Imagen_2.jpg,7,-7.201389,-78.484167,-7.201122502278408,-78.48410352613841,30.45,Hit
Imagen_2.jpg,8,-7.206389,-78.484167,-7.205992812655475,-78.483818644672,58.46,Hit
Imagen_2.jpg,9,-7.201389,-78.481389,-7.201276322642709,-78.4814595481878,14.75,Hit
Imagen_2.jpg,10,-7.205,-78.478889,-7.204700830119013,-78.47870673097006,38.87,Hit
Imagen_3.png,1,-7.202222,-78.483889,-7.202006892491715,-78.48380850869931,25.51,Hit
Imagen_3.png,2,-7.203889,-78.481944,-7.203891891760495,-78.4815632722582,42.0,Hit
Imagen_3.png,3,-7.201389,-78.481389,-7.201161522759735,-78.48107668694416,42.74,Hit
Imagen_3.png,4,-7.198056,-78.475,-7.197833218141002,-78.47482482660041,31.42,Hit
Imagen_3.png,5,-7.202222,-78.476389,-7.202260999395435,-78.47628457552527,12.31,Hit
Imagen_3.png,6,-7.204167,-78.479444,-7.204174157442664,-78.47937927311581,7.18,Hit
Imagen_3.png,7,-7.163333,-78.442778,-7.163448991985297,-78.44304763071848,32.42,Hit
Imagen_3.png,8,-7.198611,-78.479167,-7.198442962143987,-78.47902190126953,24.6,Hit
Imagen_3.png,9,-7.203333,-78.483611,-7.2034262119446595,-78.48338405079997,27.1,Hit
Imagen_3.png,10,-7.200278,-78.483333,-7.200108119113511,-78.48317676010205,25.57,Hit
Imagen_4.jpg,1,-7.198056,-78.475,-7.1981034538779864,-78.4750728197838,9.61,Hit
Imagen_4.jpg,2,-7.163333,-78.442778,-7.162869232028838,-78.44333063710586,79.85,Hit
Imagen_4.jpg,3,-7.201389,-78.416389,-7.201566380247777,-78.41616259003197,31.83,Hit
Imagen_4.jpg,4,-7.198611,-78.485,-7.1987909317383885,-78.4851625467471,26.87,Hit
Imagen_4.jpg,5,-7.201389,-78.4725,-7.2016592572580045,-78.47230645331298,36.86,Hit
Imagen_4.jpg,6,-7.181111,-78.44,-7.180346296937543,-78.43923859581791,119.53,Hit
Imagen_4.jpg,7,-7.196667,-78.476944,-7.196957593042705,-78.47744889818065,64.39,Hit
Imagen_4.jpg,8,-7.1975,-78.4875,-7.197797321647549,-78.4876577405756,37.36,Hit
Imagen_4.jpg,9,-7.192222,-78.4825,-7.192555615086326,-78.4828022792049,49.88,Hit
Imagen_4.jpg,10,-7.202222,-78.476389,-7.2021385318260025,-78.476776025647,43.69,Hit
Imagen_5.jpg,1,-7.21,-78.41,-7.210154475412924,-78.41046566450166,54.17,Hit
