f1_score,iou_binary,loss,mean_iou,precision,recall,val_f1_score,val_iou_binary,val_loss,val_mean_iou,val_precision,val_recall,learning_rate
0.4558148682117462,0.29518166184425354,0.47607001662254333,0.4573477506637573,0.40776899456977844,0.5166952610015869,0.0,1.1377040768625803e-14,0.6687095761299133,0.4413814842700958,0.0,0.0,0.0010000000474974513
0.5156487822532654,0.34738996624946594,0.42755743861198425,0.4573477506637573,0.4962081015110016,0.536674976348877,0.0,1.1377040768625803e-14,0.6172087788581848,0.4413814842700958,0.0,0.0,0.0010000000474974513
0.5274617671966553,0.3581991493701935,0.4113601744174957,0.4573477506637573,0.5010403990745544,0.5568249821662903,0.5487361550331116,0.3781091868877411,0.5007667541503906,0.4413814842700958,0.48148244619369507,0.6378284096717834,0.0010000000474974513
0.5419420003890991,0.37168747186660767,0.39218670129776,0.4573477506637573,0.5168377757072449,0.569609522819519,0.5293830633163452,0.3599734902381897,0.5937813520431519,0.4413814842700958,0.3781304359436035,0.8823071122169495,0.0010000000474974513
0.5619532465934753,0.3907753527164459,0.3761759400367737,0.4573477506637573,0.5460392832756042,0.5788228511810303,0.5217681527137756,0.352967768907547,0.5125429630279541,0.4413814842700958,0.5037301182746887,0.5411460995674133,0.0010000000474974513
0.5532985329627991,0.38245514035224915,0.3884011209011078,0.4573477506637573,0.5372924208641052,0.5702876448631287,0.4421030282974243,0.2837820053100586,0.8124532103538513,0.4413814842700958,0.28970712423324585,0.9327746629714966,0.0010000000474974513
0.587798535823822,0.41622835397720337,0.36292245984077454,0.4573477506637573,0.5822806358337402,0.5934221744537354,0.6366148591041565,0.46693697571754456,0.43189212679862976,0.4413814842700958,0.5453142523765564,0.7646360993385315,0.00020000000949949026
0.5929823517799377,0.4214460253715515,0.35544583201408386,0.4573477506637573,0.5967812538146973,0.589231550693512,0.5928622484207153,0.4213249683380127,0.43649181723594666,0.4413814842700958,0.7124698758125305,0.5076408386230469,0.00020000000949949026
0.6056463122367859,0.4343563914299011,0.3440895974636078,0.4573477506637573,0.6133589148521423,0.5981254577636719,0.6172950863838196,0.4464402198791504,0.43121275305747986,0.4413814842700958,0.6881521940231323,0.559667706489563,0.00020000000949949026
0.6242269277572632,0.4537281394004822,0.32926005125045776,0.4573477506637573,0.6381954550743103,0.610856831073761,0.6148138046264648,0.4438492953777313,0.42521655559539795,0.4413814842700958,0.6963397860527039,0.5503769516944885,0.00020000000949949026
